target_themes,target_rating,fen,best_move,is_legal,is_puzzle,counter_intuitive,actual_themes,predicted_rating,themes_match,main_line,best_move_matches
,,b1r5/5p1k/p3pBpp/2q5/3p4/3Q1P1P/2P3P1/1R5K w - - 2 31,d3d2,True,False,False,,,,,
,,4k3/pb1n2R1/4p3/3pP1B1/3P2P1/r1n5/PrB2K2/R7 w - - 3 30,c2g6,True,True,False,"['middlegame', 'equality', 'quietMove', 'defensiveMove', 'sacrifice', 'short']",2141.05712890625,,a1h1 b2c2 f2e1,False
,,r4rk1/ppp2pp1/2n2n1p/4p3/2B3bB/b2P1N1P/PPP2PP1/RN3RK1 w - - 0 13,h4f6,True,False,False,,,,,
,,8/8/8/Kp5p/p1kPp2P/P3P3/1B6/8 b - - 2 52,c4d3,True,False,True,,,,,
,,4r3/ppp3Rn/1b1pr2k/4pN1p/4P1PR/1P1P3P/1PP3K1/8 w - - 0 28,h4h5,False,False,,,,,,
,,2r4r/2Rnk1pp/p3pp2/1p1pP1N1/8/P7/1P3PPP/2R3K1 w - - 0 21,c7c8,True,False,False,,,,,
,,6k1/5p2/pb6/1p3ppK/5r2/1NPR1PPP/PP6/8 b - - 2 32,f4h4,True,False,True,,,,,
,,8/p7/1p1b4/2p3p1/P1P1P1P1/1N1k1K2/8/8 w - - 11 41,e4e5,True,False,True,,,,,
,,r2q1bkr/1p1np1pp/p4n2/2p1NQ2/8/3P4/PP1K1P1P/RNB4R w - - 0 14,f5e6,True,True,False,"['opening', 'mateIn1', 'mate', 'oneMove']",1014.0081176757812,,f5e6,True
,,3r3k/5Q2/p1p4p/1p1PN1p1/8/4n1qP/PP4P1/6K1 w - - 1 33,e5g6,True,False,False,,,,,
,,6k1/5pp1/R6p/8/pp1N1PKP/4r3/2P5/8 b - - 9 48,g7g6,True,False,False,,,,,
,,r1bqr3/pp5k/1b2p2p/3nN3/8/2P2Q2/P4PPP/R4RK1 w - - 6 19,a3e8,True,True,False,"['middlegame', 'mateIn2', 'mate', 'short']",1165.689453125,,f3f7 h7h8 e5g6,False
,,5r2/2r2pb1/1Np1b2k/pp2n1N1/4PR2/1P4R1/1PP3PP/6K1 w - - 0 26,f4h4,True,False,False,,,,,
,,8/8/5p2/4kP2/1N3bP1/4pK2/8/8 w - - 12 76,b4d3,True,False,False,,,,,
,,3B4/2Pk1n2/p5p1/Pp3p1p/1P2pP2/2P1K1P1/8/8 b - - 5 40,f7d8,True,False,False,,,,,
,,Q1b4r/2krq2p/1p1p1npb/3P4/2PPp1P1/PK5P/1P2B2B/3R4 w - - 1 25,a8a7,True,False,False,,,,,
,,4b1k1/5ppp/5n2/3q4/3R4/1P1P3P/rB2Q1P1/4R1K1 b - - 0 30,a2b2,True,False,True,,,,,
,,r4r2/2p1k1p1/p2p2qp/1p1Qp3/3nP3/5NPP/PPP2P2/R1B1R1K1 b - - 0 19,d4f3,True,False,False,,,,,
,,4Q3/1p4p1/p1p2p1p/1nP1pk1P/1P2q3/3N2P1/5PK1/8 w - - 5 50,f2f3,True,True,False,"['endgame', 'advantage', 'defensiveMove', 'short']",1837.7996826171875,,f2f3 e4e2 d3f2,True
,,8/7r/8/6p1/8/1K4Pk/R6P/8 b - - 11 55,h7b7,True,False,False,,,,,
,,2r1r3/1p5k/1p4pb/5b1p/1RnPNp1P/2P2P2/P1B3PB/2K3R1 b - - 6 31,e8e4,True,False,False,,,,,
,,5rk1/5p1p/p4Qp1/1p2P3/8/4R3/Pqr3PP/5R1K w - - 0 25,e5e6,True,False,False,,,,,
,,2r4r/3k2bp/p3b1p1/1p1p1p2/3N4/1P1PB3/1PP3PP/R4RK1 w - - 6 26,a1a6,True,False,False,,,,,
,,2kr3r/pq3p2/2p1p3/PpP3n1/1P2b1p1/2Q3P1/3N1PB1/R1R2K2 w - - 0 26,d2e4,True,False,False,,,,,
,,8/ppp3pk/3b3p/5r2/3p4/1P1P1qP1/PBPQ1P1P/R5K1 b - - 2 21,f5h5,True,True,False,"['endgame', 'advantage', 'short']",1687.69873046875,,d6b4 d2d1 f3f2,False
,,2r4k/5pp1/p3b2p/2Q5/4B3/2P4P/1q3PP1/4R1K1 w - - 1 31,c5c8,True,False,True,,,,,
,,rnbqk1nr/p1p2ppp/1p1b4/8/2B5/2P1pQ2/PP3PPP/RNB1K1NR w KQkq - 0 8,f3f7,True,True,False,"['opening', 'mateIn1', 'mate', 'attackingF2F7', 'oneMove']",983.4996337890625,,f3f7,True
,,8/8/5k2/2pPp3/1pP1Pp1K/1P6/8/8 w - - 4 54,h4g4,True,False,False,,,,,
,,3r2k1/rp3p1p/p1p3pB/5p2/2Pb4/1P5P/1P2RPP1/4R1K1 w - - 0 24,e2e8,True,True,False,"['endgame', 'mateIn2', 'mate', 'kingsideAttack', 'short']",579.954345703125,,e2e8 d8e8 e1e8,True
,,2r2rk1/1b3ppp/p3pb2/1p2N3/3q3Q/3B4/PPP3PP/RN5K w - - 0 16,h4h7,True,True,False,"['middlegame', 'mateIn1', 'mate', 'kingsideAttack', 'oneMove']",876.3966064453125,,h4h7,True
,,r4rk1/ppb3pp/2pq2p1/2Np4/6P1/P2QP2P/1P3PB1/R3R1K1 b - - 0 21,d6h2,True,False,False,,,,,
,,2r3k1/1p3p2/p4qpp/2np4/b2N4/2P2BPQ/5PKP/2R1r3 w - - 0 29,h3c8,True,True,False,"['middlegame', 'advantage', 'fork', 'hangingPiece', 'short']",1438.4864501953125,,h3c8 e1e8 c8c5,True
,,rnbq3r/ppppkBp1/7p/4P3/8/2P3PP/PP6/RNBn1RK1 w - - 3 12,c1g5,True,False,True,,,,,
,,1k1r3r/2p1b3/R2p1n1q/6p1/p7/P4QP1/1PPN2PP/R5K1 w - - 1 26,a6a8,True,False,False,,,,,
,,r3k2r/1b3ppp/2q1p3/Rp1pP3/3P4/QPP2N2/5PPP/6K1 b kq - 1 18,c6c3,True,False,False,,,,,
,,6rk/pp1b1Q2/2p4p/8/4PN2/2PB2p1/PP6/1K6 b - - 0 29,g3g2,True,False,False,,,,,
,,3r1b1r/ppNk1ppp/8/3PQP2/7q/8/PP2P2P/R1BK3R b - - 0 18,f8d6,True,False,False,,,,,
,,r4rk1/pbpp1pp1/1p2pq1p/3P4/2P5/P2QPN2/2B2PPP/b4RK1 w - - 0 17,d3h7,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",658.82568359375,,d3h7,True
,,4r3/ppp1nk2/3p2p1/3P1b2/4N3/3Q4/PqP3PP/5RK1 w - - 0 20,e4g5,True,False,False,,,,,
,,r1q1r3/ppQ2R1p/6p1/6kn/8/6P1/PPP2P1P/5bK1 w - - 0 24,f2f4,True,False,False,,,,,
,,rnq1rb1k/2pb1p2/1p5N/3PpN2/1PP1Pn2/p7/P1BB2PP/R1Q2RK1 b - - 0 22,f4e2,True,False,False,,,,,
,,rn1qk2r/pbp1n1pp/1p1bp3/5p2/4N3/1P1P1Q2/PBP2PPP/RN2KB1R w KQkq - 0 8,e4d6,True,False,False,,,,,
,,Q2q1rk1/p4pbp/3pp1pB/n7/1p1Pn3/5N2/PP3PPP/R2NR1K1 b - - 0 17,d8a8,True,False,False,,,,,
,,1r3bk1/p4pp1/6p1/2pBq3/6P1/P2n3P/1P3PK1/1RBQ4 w - - 8 34,d1d3,True,False,False,,,,,
,,4k3/6R1/1p3r1P/8/pP1P4/8/6K1/8 b - - 0 44,a4a3,True,False,False,,,,,
,,5r1R/p4kp1/2p1p3/2Pp3Q/1b3P2/1b2P1P1/q3BKP1/7R b - - 5 26,g7g6,True,False,False,,,,,
,,8/5ppk/2p4p/2P5/1P2b3/3q3P/6PK/4BQ2 w - - 2 49,f1d3,True,False,False,,,,,
,,8/2Q3p1/3p2kp/4p1rq/4Pp2/1P1P4/P1P2RP1/4R1K1 b - - 0 42,h5h2,True,False,False,,,,,
,,r4rk1/1p1b2pp/pqp1pn2/4PpB1/2P5/P1N5/1PQ2bPP/R3KB1R w KQ - 0 16,c2f2,True,True,False,"['middlegame', 'advantage', 'short']",848.501220703125,,c2f2 b6f2 e1f2,True
,,r3k2r/p1p4p/2p2Q1b/1q3b2/4p3/2P5/PP3PPP/RN2K2R b KQkq - 1 14,h8f8,True,False,False,,,,,
,,2R5/1Q3pp1/p2b3p/1k1Ppb2/2p5/P1P3B1/KP4PP/3q4 b - - 0 54,b5b7,True,True,False,"['endgame', 'advantage', 'enPassant', 'short']",1823.7994384765625,,b5a5 b2b4 c4b3,False
,,2q3r1/p1r2k2/1p1R4/4Q1pp/2b1Pn2/5P2/P5PP/3R2K1 w - - 6 28,d6f6,True,False,False,,,,,
,,r2q1k2/1bpp3p/p4Pn1/2p3Q1/2P5/3B4/P5PP/4B1K1 w - - 0 26,d3g6,True,True,False,"['middlegame', 'crushing', 'short']",2016.7154541015625,,d3g6 h7g6 g5g6,True
,,1r3rk1/p4pp1/b1n5/3Qp1N1/8/2q2P2/PP4PP/3R1RK1 w - - 2 21,b2c3,True,False,False,,,,,
,,8/kp6/3pP3/2pP4/1bP1Bp2/5P1r/1P2K1Q1/3N3r b - - 3 44,h3h7,True,False,False,,,,,
,,8/5p1k/6P1/5p2/2PQb3/7P/r4rPK/1R6 b - - 0 38,h7g6,True,False,False,,,,,
,,2r5/6k1/2p2p2/3p4/5P2/1P1Q2p1/P3RqP1/R6K b - - 1 42,c8h8,True,True,False,"['endgame', 'mateIn2', 'mate', 'short']",1097.7130126953125,,c8h8 d3h7 h8h7,True
,,3rrqk1/p4p1p/1ppn1Pp1/4n1B1/3Q4/1PP5/P1B3PP/4RRK1 b - - 0 25,d6b5,True,False,False,,,,,
,,8/8/8/p1rBkppp/1pP5/1P1R1KPP/P1n5/8 b - - 10 37,c2e1,True,True,False,"['endgame', 'advantage', 'fork', 'short']",1070.616455078125,,c2e1 f3e2 e1d3,True
,,6Q1/8/2q2p2/7k/8/6P1/5P1K/2q5 w - - 2 59,g8h7,True,False,True,,,,,
,,1k3r2/ppp5/3pBbR1/3Pp3/4P3/3P3p/PPPK4/8 w - - 0 31,g6f6,True,False,False,,,,,
,,1k1r4/ppp5/2npr3/4pQ2/2q1P3/2P5/PPP2RPP/5R1K w - - 2 19,f5f8,True,False,False,,,,,
,,r1b3k1/4rpb1/pp1p1nqp/2pPp3/P1P1Pp2/BP3N1P/3Q1PP1/RB2R1K1 w - - 6 23,f3h4,True,False,False,,,,,
,,5q1k/6R1/1pn1BpQ1/p1r2P2/P2p4/1P5P/6P1/7K b - - 1 47,c5c1,True,False,False,,,,,
,,r3r1k1/p1q1bpp1/2n2n1p/2p1N3/4P3/1P1B2B1/P1Q2PPP/2R2RK1 b - - 0 21,c6d4,True,False,False,,,,,
,,r2k3r/ppp2Qp1/3N1pB1/8/3P2b1/P6n/1PP2P1P/R3R2K b - - 0 26,g4f3,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",1113.10205078125,,g4f3,True
,,r7/p4k2/2ppb3/2p3p1/3bQ3/3P2P1/PPP4P/R6K b - - 0 22,e6d5,True,False,False,,,,,
,,2r3k1/5rpp/4Qp2/8/3n4/1Pq2N1P/4RPP1/6K1 w - - 3 30,e6c8,True,False,False,,,,,
,,1r4k1/p1r2p2/1p4p1/4p3/P2q2QR/5BP1/6PP/6K1 w - - 2 29,g4d4,True,False,False,,,,,
,,r3kr2/1p4bp/p5p1/1bPN2p1/3P4/8/PP4PP/1K1R1R2 w q - 1 23,d5c7,True,False,False,,,,,
,,5rk1/pbQ4p/1p2p1p1/2p5/8/2PP3R/PP4PP/5R1K b - - 0 29,f8f1,True,True,False,"['endgame', 'mateIn1', 'mate', 'hangingPiece', 'oneMove']",713.5706787109375,,f8f1,True
,,r1b2rk1/5ppp/pqp5/4p2Q/5p2/N2Bb2P/PPP5/R2K3R w - - 2 18,h5h7,True,False,False,,,,,
,,3Q4/p4pkp/b5p1/4r3/1qp5/1N6/P1P3PP/2R4K w - - 1 27,d8d4,True,False,False,,,,,
,,r4rk1/2p2ppp/2p5/p1b5/Q3nP1q/8/PPPN2PP/2BR1R1K b - - 5 18,e4g3,True,True,False,"['middlegame', 'mateIn1', 'mate', 'pin', 'oneMove']",1438.53076171875,,e4g3,True
,,r4rk1/p1p2ppp/1p1bpq2/4n3/8/1P2PB2/PB1P1PPP/R1Q1K2R b KQ - 0 14,e5d3,True,False,False,,,,,
,,8/8/6RP/1p6/8/3k3r/1K6/8 w - - 1 64,g6g3,True,False,False,,,,,
,,8/3q1ppk/p7/7p/P1pQ1PP1/2Bp4/1P4KP/8 b - - 1 36,d7d4,True,True,False,"['endgame', 'crushing', 'advancedPawn', 'short']",1402.997314453125,,d7d4 c3d4 d3d2,True
,,5r1k/p5pp/2p2p2/1p4n1/3P4/P3N1qb/1P3QB1/2R2RK1 b - - 1 26,g5f3,True,False,False,,,,,
,,2rk4/Qbb3r1/p2pBp2/1p1Pp2p/8/P2q3P/1PR5/1KR5 w - - 4 37,b1a2,True,False,False,,,,,
,,2kr1b2/Bp2p2R/2pp4/8/P3P3/3P1Qp1/2P3P1/4q2K w - - 0 29,f3f1,True,False,False,,,,,
,,8/8/4k3/6KP/5p2/2p2P2/8/2bB4 w - - 0 49,h5h6,True,False,True,,,,,
,,r3kb1Q/pppq3p/5np1/4p3/6b1/1BP2P2/PPKPNn1P/RNB2R2 b q - 0 15,d7d3,True,False,False,,,,,
,,8/7p/5p2/3k1pp1/5K2/5pP1/5P1P/8 w - - 0 47,f4f5,True,False,True,,,,,
,,2kr4/pbp1rRp1/1p2p3/1N2P3/3bq2P/P5Q1/1PP3P1/1K6 w - - 0 25,f7e7,True,False,True,,,,,
,,8/8/P1n3p1/4p2p/4P2P/2P2k2/2K5/4B3 b - - 0 63,c6d8,True,False,True,,,,,
,,2r2rk1/ppB3pp/5p2/1B2n3/4P3/P4b1q/2P4P/2KRQR2 w - - 0 18,c7e5,True,False,False,,,,,
,,R3r1k1/5ppb/2Nb3p/3P4/1pP3P1/3p3P/5P2/6K1 w - - 0 31,a8e8,True,False,False,,,,,
,,r5k1/5pb1/3p2N1/2pB3n/p1Pn2b1/Pp1P4/1P5K/2BR1R2 b - - 0 29,g4d1,True,False,False,,,,,
,,8/Np1r2p1/4p1Q1/2Pp4/4p3/6PP/Pq4PK/8 w - - 1 36,g6e6,False,False,,,,,,
,,2kr3r/p2q2pp/Pp3p2/4b3/1PPn4/3P2P1/5P1P/RNBQR1K1 b - - 0 19,d4f3,True,False,True,,,,,
,,6k1/1p2Qpp1/p3n2p/3q4/1P1P3r/P7/1B3PPP/5RK1 b - - 4 24,e6f4,True,False,False,,,,,
,,r3bk1r/ppp2p2/4pq1p/3n3Q/3P4/P1PB1R2/1P3PPP/RN4K1 b - - 1 18,d5f4,True,False,False,,,,,
,,R4nk1/4q1p1/1p3p1p/1Q1p4/1P1P2b1/2P5/3N1PPP/6K1 b - - 0 21,g4d7,True,False,False,,,,,
,,rn2kb1r/ppp2ppp/4pn2/1N2N3/2PP4/3p4/PP3PqP/R1B1K1R1 w Qkq - 0 12,b5c7,True,False,False,,,,,
,,b4rk1/5pbp/6p1/1P1N1n1q/2Bpp3/Q5P1/5P1P/3R1RK1 b - - 4 23,a8d5,True,False,False,,,,,
,,3r1k2/1p3pp1/3b3p/1P6/8/r3BNP1/4K2P/3R4 w - - 0 36,d1d6,True,False,True,,,,,
,,r5k1/pp1nrppp/2p1p3/8/1P2P3/P1PBPR2/6PP/5RK1 b - - 2 21,d7e5,True,False,False,,,,,
,,2r3k1/pQBq2p1/7p/3B1p2/2bb4/4P3/1P4PP/R1R3K1 b - - 0 29,c4d5,True,True,False,"['middlegame', 'advantage', 'short']",1457.7078857421875,,c4d5 b7d5 d7d5,True
,,8/P5k1/5r2/7Q/8/6q1/4p1Kp/7R w - - 1 55,g2h2,True,False,False,,,,,
,,r2k4/ppR2prp/4b3/n2N4/8/P3PQbq/3P3P/1R2K3 w - - 4 22,f3g3,True,False,False,,,,,
,,r2q3k/p5p1/3b1r1p/1P1Qp3/4B2P/7K/P7/R4R2 w - - 2 25,f1f6,True,False,False,,,,,
,,2r3k1/p4ppp/1qN1p3/3p4/8/P1Q1P3/1P3PPP/4K2n w - - 2 24,c6e7,True,True,False,"['endgame', 'advantage', 'fork', 'short']",780.1764526367188,,c6e7 g8f8 e7c8,True
,,r1b2r1k/3p1pp1/p3p2q/n2N4/5Pn1/2PB1N2/PP1Q2P1/R3RK2 b - - 15 22,h6h5,True,False,False,,,,,
,,5k2/p2Q1p2/1p2pp2/4q2p/2P4P/rP4R1/5PPK/8 w - - 3 32,d7d8,True,False,False,,,,,
,,r1bq2n1/pp5Q/k3p3/3pP1N1/1B6/N7/3K1PPP/n6R b - - 5 28,d8g5,True,False,False,,,,,
,,4k3/5p2/5R2/3KPPp1/8/8/3r4/8 w - - 3 54,d5e4,True,False,True,,,,,
,,4Q3/4P1pk/p4r2/1pp1q2p/5p2/PP5P/6P1/5R1K w - - 1 46,f1e1,True,False,False,,,,,
,,5r2/p3ppkp/2qp2p1/8/P7/R1n3P1/2Q1PP1P/5RK1 b - - 1 20,c3e2,True,False,False,,,,,
,,7k/R6p/4N1p1/P7/8/4nPBP/2r3PK/8 b - - 0 39,c2g2,True,False,True,,,,,
,,2b1r1k1/5p1p/3P2pB/2p1b3/1r2BQ2/p6P/Pq3PP1/2R1R1K1 w - - 0 28,e4d5,True,False,False,,,,,
,,8/7p/2k3p1/5P2/pP1Kp1PP/8/8/8 w - - 0 38,f5f6,True,False,True,,,,,
,,8/5p2/4pkp1/1R1p4/3P4/4PN2/rn3KPP/8 b - - 4 36,b2d1,True,False,False,,,,,
,,8/5R1p/r5p1/p7/P3k2b/3N4/2P3K1/8 w - - 11 58,d3c5,True,False,False,,,,,
,,2k5/p1BR4/2p5/7p/6nP/P6Q/2r3P1/6K1 b - - 0 34,c2c1,True,True,False,"['endgame', 'mateIn2', 'mate', 'short']",870.6483154296875,,c2c1 d7d1 c1d1,True
,,3r1r1k/pp4pp/2p5/2b1N2q/4QPb1/P5P1/BP4KP/R4R2 b - - 4 24,d8d2,True,False,False,,,,,
,,6r1/1p4k1/3BP3/1P1p4/4b1r1/8/P1P2R2/3R1K2 b - - 1 36,g4g1,True,False,False,,,,,
,,6R1/2p4p/1b5k/1p2n3/5rP1/2PR4/4K2P/8 w - - 8 37,d3h3,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",1013.5826416015625,,d3h3,True
,,r1b1k2r/pp3ppp/2n1pq2/2bp4/8/P1N2NP1/1PP1PP1P/R2QKB1R w KQkq - 0 8,c3b5,True,False,False,,,,,
,,5R2/4r3/6pp/5pPk/5K2/7P/6P1/8 w - - 0 43,g2g4,True,False,False,,,,,
,,5r1k/1p6/1P4Q1/3B4/4pr2/5q2/3K4/4R3 w - - 1 44,g6h6,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",1155.5758056640625,,g6h6,True
,,3r2k1/4P1p1/2p5/6P1/2R2q2/pP1Q4/P1K1RP2/7r b - - 0 38,f4c1,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",1241.939697265625,,f4c1,True
,,2k5/ppp4q/3p1Q2/3Pp3/2P2p2/2N1nP2/PP6/2K3Rr w - - 2 29,f6f8,True,False,False,,,,,
,,r1b2qk1/5rpp/p3p3/3p4/P1pP1n2/6Q1/N5PP/RBB2RK1 b - - 3 24,f4e2,True,False,False,,,,,
,,1rr3k1/5ppp/3q4/PB6/3R4/4P3/1N2QPPP/6K1 b - - 0 26,c8c2,True,False,True,,,,,
,,2r1r3/p5Q1/1p1kpR2/2q5/P1p2P2/3p4/6PP/1R5K w - - 0 35,b1b5,True,False,False,,,,,
,,r4rk1/6p1/1nbNp1Qp/3pPp2/3q1P1P/P1p3PB/P1p5/1K1RR3 w - - 0 27,b1c1,True,False,False,,,,,
,,4r3/5kpp/4p3/1b2RpP1/1B3P1P/1QP5/PKP5/3q4 b - - 9 34,b5a4,True,False,False,,,,,
,,2r1b3/p1r4p/1p1p2pN/3Pk2P/2PR4/4KP2/P5p1/2R5 w - - 0 38,f3f4,True,False,False,,,,,
,,6k1/5ppp/pq1p1b2/5P2/Pp6/5QP1/1P5P/2r2B1K w - - 0 30,f3a8,True,False,True,,,,,
,,6k1/6b1/p2Np1p1/1p5n/4P2q/1B3Q1P/PP4PK/8 b - - 9 33,g7e5,True,False,False,,,,,
,,8/1k1K2N1/pr3p2/3R4/5bPP/8/8/8 w - - 6 53,g7f5,True,False,False,,,,,
,,r4rk1/p1q2p1p/2pb1p2/8/4p3/7P/PPP1QP2/R4RK1 w - - 0 21,e2g4,True,False,True,,,,,
,,2r3k1/pp2qp2/4p1p1/8/3Q3R/P1P4P/1P3PP1/6K1 b - - 0 27,e6e5,True,False,False,,,,,
,,2kr1b1r/pppn1Npp/3p1n2/4p3/4P2q/2N5/PPPP1PP1/R1BQ1RK1 b - - 5 10,f6g4,True,True,False,"['opening', 'advantage', 'short']",1399.1756591796875,,f6g4 d1g4 h4g4,True
,,r3kb1r/pppq1pp1/3p3p/3Pn3/8/2N2N1b/PP1R1PP1/R1B1Q1K1 w kq - 0 15,f3e5,True,False,False,,,,,
,,r3kbr1/ppp2p1p/n2p1B2/3P4/3Q4/5N2/PPP1q1PP/2KR3R b q - 3 13,f8h6,True,False,True,,,,,
,,2br3k/2r3pp/1Q6/p3Pp2/3p1P2/3P1RPq/PPP3B1/R5K1 b - - 0 26,c8b7,True,False,True,,,,,
,,5Q2/3q1p1k/p4p1p/1p1pb2N/8/1P1P4/P1r2PPP/5R1K w - - 6 28,f8g7,True,True,False,"['endgame', 'mateIn1', 'mate', 'oneMove']",984.71337890625,,f8g7,True
,,8/6p1/N4pkp/2Q5/8/5P1P/q2r2P1/6RK b - - 0 38,d2g2,True,False,False,,,,,
,,5r2/1kp1q2p/1pn1p1pn/3pP3/2PP1r2/RP1B4/Q6P/2KR4 w - - 0 29,a3a7,True,False,False,,,,,
,,8/1b6/1P6/3p3p/3P3P/3kBK2/2p5/8 b - - 2 67,d3c3,True,False,False,,,,,
,,7k/p1rr2p1/1p1Ppp1p/8/1P3P2/P5R1/6PP/6K1 w - - 0 34,d6c7,True,False,False,,,,,
,,Q7/pp2k2p/2n1P1qr/4P3/3p1R2/8/PPP3PP/R6K b - - 2 25,h6h2,True,False,True,,,,,
,,5rk1/5pbp/p4np1/1p1r3n/8/PB2P1Bq/1PQ1NP1P/3R1RK1 b - - 1 21,d5g5,True,False,False,,,,,
,,r4rk1/1pq1B1b1/3RRnQ1/5P2/p7/1P6/1PP3PP/1K6 b - - 0 31,a4b3,True,False,False,,,,,
,,rr6/4p1kp/3p2q1/3P4/1RQ1NP2/2P5/PK6/6R1 b - - 2 32,b8b4,True,False,False,,,,,
,,3r3k/6pp/2p5/8/3r4/1P3K1P/P7/3R4 w - - 0 37,d1d4,True,False,False,,,,,
,,2rq1rk1/4bpp1/p1n4p/1p1pP3/3P2b1/P1nQ1N2/1PB2PPP/R4RK1 w - - 0 16,d3h7,True,True,False,"['middlegame', 'mateIn1', 'mate', 'oneMove']",751.0588989257812,,d3h7,True
,,B4rk1/4ppbp/p2p2p1/1p2n3/3P4/PQ2B2q/1P3P2/3RR1K1 b - - 1 20,e5g4,True,False,False,,,,,
,,8/8/1p1k4/p6p/2P5/1P3KP1/8/8 w - - 2 51,f3f4,True,False,False,,,,,
,,8/5p2/8/Pp2P3/1P1pk3/5R2/6K1/4r3 b - - 5 55,d4d3,True,False,False,,,,,
,,6k1/p4p2/8/6p1/1P6/5Q2/q2r2P1/2R4K w - - 0 36,c1c8,True,False,False,,,,,
,,2kr2nr/ppp3pp/8/2b1q3/3P4/1BP3RP/PP4P1/R2Q2K1 w - - 3 19,g3e3,True,False,False,,,,,
,,1r1k1R2/p1pn2Qp/1p6/4p3/2BbP1bq/2P5/PPKP3p/RNB5 b - - 2 17,d7f8,True,False,False,,,,,
,,8/8/8/5k1p/2R1r2P/1pK5/1P6/8 w - - 4 56,c4e4,True,True,False,"['endgame', 'advantage', 'rookEndgame', 'short']",1417.9232177734375,,c4e4 f5e4 c3b3,True
,,8/8/2bk1p2/8/5P2/4KB2/8/8 b - - 1 78,c6f3,True,False,False,,,,,
,,r3kbnr/1p3ppp/p1n1p3/1N1pP1Bq/3p4/3Q1N1P/PPP2PP1/R4RK1 w kq - 0 14,b5c7,True,False,False,,,,,
,,rnb2rk1/1pb3pp/p7/2Pp1p2/1P1Pp2q/4P1P1/PBPNB2P/RN1QK2R b KQ - 0 13,h4g3,True,False,False,,,,,
,,2k2r2/ppp5/3p4/3Ppr2/6Q1/2P3RP/PP1q2PK/4R3 b - - 4 29,f5f4,True,False,False,,,,,
,,8/5p2/1pk1p1p1/p3P2p/P3KP1P/1P6/8/8 b - - 0 42,c6c5,True,False,False,,,,,
,,1k1r4/ppbr4/4Np2/2pn1q1p/3pNP2/PP4P1/1BP1Q3/1K1RR3 b - - 2 38,f5e6,True,False,True,,,,,
