fen,target_rating,target_themes,is_legal,is_puzzle,counter_intuitive
2r3k1/2r4p/4p1p1/1p1q1pP1/p2P1P1Q/P6R/4bB2/2R3K1 w - - 6 35,1780,"['crushing', 'deflection', 'kingsideAttack', 'long', 'middlegame', 'sacrifice']",True,True,False
rnbq3r/1p3kpp/p4n2/2b5/2pNP3/2N5/PPP3PP/R1BQ1RK1 w - - 2 12,1904,"['advantage', 'opening', 'pin', 'short']",True,True,False
7r/6k1/2b1Rp2/8/P1N3p1/5nP1/5P2/Q4K2 b - - 0 38,1459,"['advantage', 'endgame', 'short', 'skewer']",True,True,False
5r1k/pp4pp/5p2/1BbQp1r1/7K/7P/1PP3P1/3R3R b - - 3 26,1018,"['mate', 'mateIn2', 'middlegame', 'short']",True,True,False
r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q2RK b - - 0 18,895,"['mate', 'mateIn1', 'middlegame', 'oneMove', 'smotheredMate']",True,True,False
2r3k1/p4pp1/Qq2p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 w - - 4 34,2175,"['advantage', 'hangingPiece', 'middlegame', 'short']",True,False,False
6k1/1p4p1/1p3p1p/2r1p3/2n5/r3PN2/2RnNPPP/2R3K1 w - - 0 33,1832,"['advantage', 'long', 'middlegame']",True,True,False
1rb3k1/q4rP1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 w - - 1 30,1039,"['advancedPawn', 'attraction', 'mate', 'mateIn2', 'middlegame', 'promotion', 'short']",True,True,False
6nr/p4p1p/k1p5/1p6/1QN5/2P1P3/4KPqP/8 w - - 0 27,1212,"['endgame', 'long', 'mate', 'mateIn3']",True,True,False
r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1PP1/PP4P1/R1B2R1K b kq - 0 17,1252,"['mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N2P2/1PPQ2PP/3RR1K1 b - - 0 18,947,"['advantage', 'fork', 'master', 'masterVsMaster', 'middlegame', 'short']",True,True,False
k1r1b3/p1r1nppp/Bp1qpn2/2Np4/1P1P4/PQR1PN2/5PPP/2R3K1 b - - 1 19,1710,"['crushing', 'master', 'masterVsMaster', 'middlegame', 'sacrifice', 'short']",True,True,False
8/4R3/p4kpp/3B4/5q2/8/5P1P/6K1 w - - 6 41,1105,"['advantage', 'endgame', 'master', 'masterVsMaster', 'short', 'skewer', 'superGM']",True,True,False
r5k1/pp4pp/4p1q1/4p3/3n4/P3Q1P1/1PP4P/2KR1R2 b - - 5 24,926,"['endgame', 'mate', 'mateIn1', 'oneMove', 'queensideAttack']",True,True,False
8/2p5/pp1p4/P2Pk2p/1PP1p2P/2n1K2P/3N4/8 w - - 0 46,1980,"['crushing', 'endgame', 'knightEndgame', 'long']",True,False,False
5rk1/5ppp/4p3/4N3/8/1Pn5/5PPP/2R3K1 b - - 1 28,654,"['crushing', 'endgame', 'fork', 'short']",True,True,False
1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2BKPb/3R1R2 b - - 2 20,1206,"['master', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
8/8/8/6p1/5N2/3p3P/5kP1/3K4 b - - 0 56,1603,"['advancedPawn', 'crushing', 'endgame', 'veryLong']",True,True,False
r3brk1/5pp1/p2qpn1p/P2pn3/2pP4/2P1PN2/5PPP/RB1QK2R w KQ - 0 17,1205,"['advantage', 'fork', 'middlegame', 'short']",True,True,False
r3k2r/ppq1bppp/4pn2/2Ppn3/1P4bP/2P2N2/P3BPP1/RNBQ1RK1 w kq - 3 11,1643,"['crushing', 'discoveredAttack', 'middlegame', 'short']",True,False,False
7r/p4pk1/1pp3p1/8/6q1/4Q3/PP1R1P1r/5KN1 w - - 0 39,2145,"['advantage', 'endgame', 'interference', 'long']",True,True,False
3r1rk1/1b3pp1/3p4/p3nPPQ/4P3/3q1BN1/8/2R2RK1 w - - 2 29,2464,"['advantage', 'middlegame', 'short']",True,False,False
rn1qrk2/ppp3pQ/3p1pP1/3Pp3/2P1P3/8/PP3PP1/R1B1K3 w Q - 3 17,1276,"['deflection', 'mate', 'mateIn2', 'middlegame', 'short']",True,True,False
r3qrk1/2p2pp1/p2bpn1p/2ppN3/3P1Pb1/1PP1P1B1/P2N2PP/R2Q1RK1 w - - 1 15,966,"['crushing', 'middlegame', 'short']",True,True,False
7k/p4R1p/3p3B/2pN1n2/2PbB1b1/3P2P1/P3r3/5R1K b - - 0 28,872,"['cornerMate', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
r3kbnr/ppp1qppp/2n5/1B1pP3/5B2/4PQ2/PPP2PPP/RN2K2R b KQkq - 2 7,1564,"['advantage', 'fork', 'opening', 'short']",True,False,False
r4rk1/pp3ppp/3p1q2/P1P1p3/2B5/2B2n2/2P2P1P/R2Q1R1K b - - 1 16,1817,"['crushing', 'kingsideAttack', 'middlegame', 'short']",True,True,False
8/8/1p6/k7/P7/1KR4r/8/8 b - - 27 64,1615,"['crushing', 'defensiveMove', 'endgame', 'long', 'rookEndgame']",True,True,False
8/6p1/2B2n2/3b2k1/3B4/6K1/4P3/8 w - - 5 45,1469,"['crushing', 'endgame', 'short']",True,True,False
4r1k1/1p2R1p1/p2p2Pp/P1pP4/8/1R3p2/1P1q3P/5B1K w - - 0 35,1231,"['endgame', 'hangingPiece', 'master', 'mate', 'mateIn1', 'oneMove']",True,True,False
8/7p/4k3/pb1p1pPB/1n1P3P/N1p1P3/4K3/8 w - - 2 43,1125,"['advantage', 'endgame', 'hangingPiece', 'short']",True,False,False
r2q2k1/pp1n2bp/3P2b1/6N1/6Q1/P3P3/6P1/4K2R w K - 2 22,2619,"['crushing', 'long', 'middlegame', 'sacrifice']",True,True,False
3rnrk1/1b3pp1/4pb2/p3q3/1p1N4/3B2R1/PPPQN2P/1K4R1 w - - 2 24,2348,"['crushing', 'defensiveMove', 'master', 'middlegame', 'pin', 'short']",True,True,True
5r1k/B1p3pp/2Qb1p2/3Pq3/P6P/8/2P2K2/3R1R2 b - - 2 36,2245,"['advantage', 'middlegame', 'quietMove', 'short']",True,True,False
r1bqr1k1/pp1nbpp1/2p5/3n2P1/2BP4/P7/1PQNNPP1/R3K2R w KQ - 1 14,899,"['kingsideAttack', 'mate', 'mateIn2', 'middlegame', 'short']",True,True,False
r6k/q1p2p1p/1b2bPr1/p1ppP2Q/3P2p1/4B3/PP2NRPP/3R2K1 w - - 2 26,1795,"['crushing', 'kingsideAttack', 'long', 'middlegame', 'pin']",True,False,False
r2r2k1/1p2qppp/2n1p3/5Q2/p2P4/P4N2/BP3PPP/2R1R1K1 b - - 0 20,1589,"['advantage', 'middlegame', 'short']",True,True,False
8/6k1/1R5p/5p1P/5P1K/6P1/8/r7 b - - 3 58,490,"['endgame', 'master', 'mate', 'mateIn1', 'oneMove', 'rookEndgame']",True,True,False
2nk4/8/2PBp3/1pK1P1p1/1P4Pn/8/8/8 w - - 3 43,2065,"['crushing', 'endgame', 'long']",True,True,False
6k1/5ppp/5n2/pp6/4b1rP/5N1Q/Pq2r1P1/3R2RK w - - 5 33,617,"['backRankMate', 'mate', 'mateIn2', 'middlegame', 'short']",True,True,False
8/2p5/8/2pPk2p/8/3K3P/6P1/8 b - - 2 42,2264,"['crushing', 'endgame', 'pawnEndgame', 'quietMove', 'short']",True,False,False
1r5r/p3kp2/4p2p/4P3/R4Pp1/6P1/P1P4P/4K2R b K - 2 25,1081,"['crushing', 'defensiveMove', 'endgame', 'long', 'rookEndgame', 'skewer']",True,True,False
2r2rk1/5ppp/bq2p3/p2pP1N1/Pb1p2P1/1P2P2P/2QN4/2R1K2R w K - 0 19,966,"['kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
8/3pk3/R7/1R2PK1p/2PPn1r1/8/8/8 b - - 0 43,1713,"['endgame', 'mate', 'mateIn1', 'oneMove']",True,True,False
6k1/Q2bqr1p/2rpp1pR/p7/Pp2P3/1B3P2/1PP3P1/2KR4 b - - 7 22,993,"['advantage', 'fork', 'master', 'middlegame', 'short']",True,True,False
1r3k1r/pNqnppb1/6pn/2p3Np/7P/2P2Q2/PP3PP1/R1B1K2R w KQ - 3 16,1437,"['advantage', 'middlegame', 'pin', 'short']",True,True,False
2r5/pR5p/5p1k/4p3/4R3/B4nPP/PP3P2/1K6 b - - 0 27,1518,"['backRankMate', 'endgame', 'fork', 'mate', 'mateIn2', 'short']",True,True,False
8/6pk/7p/2pq4/3p4/5PP1/P3QK1P/8 w - - 2 41,1457,"['advantage', 'endgame', 'queenEndgame', 'short']",True,True,False
r4rk1/1pp2ppp/p2p4/2bPp3/2P1PB1q/P1N2B2/1P3P2/R2QK1R1 b Q - 0 15,1054,"['attackingF2F7', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
8/8/5k1p/6pP/1R4P1/1p2KP2/8/1r6 b - - 0 43,2014,"['advancedPawn', 'crushing', 'defensiveMove', 'endgame', 'long', 'rookEndgame']",True,True,False
2r1kbnr/pp4pp/4p3/3pq1N1/8/1P2B3/P3Q1PP/nN3RK1 w k - 0 17,1986,"['advantage', 'attraction', 'discoveredAttack', 'exposedKing', 'middlegame', 'sacrifice', 'veryLong']",True,True,True
6k1/r1b1q3/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R w - - 2 37,1156,"['crushing', 'exposedKing', 'long', 'middlegame', 'skewer']",True,True,False
8/1q3kpp/1P2p3/4Q3/5P2/4B2P/2r3PK/8 w - - 1 44,1664,"['advantage', 'endgame', 'long']",True,True,False
rn3rk1/p5pp/3N4/4np1q/5Q2/1P6/PB1P1KP1/2R4R b - - 1 25,1067,"['crushing', 'fork', 'long', 'middlegame']",True,False,False
r3kb1r/p4ppp/b3p3/2pq4/3Q4/4BN2/PPP2PPP/R3K2R w KQkq - 0 12,983,"['crushing', 'fork', 'master', 'middlegame', 'short']",True,True,False
7R/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 b - - 11 37,1007,"['crushing', 'endgame', 'fork', 'short']",True,True,False
r1b1k2N/ppp3pp/2n5/2bp4/7q/1B4n1/PPPP1P1P/RNBQR1K1 b q - 1 10,2134,"['crushing', 'defensiveMove', 'middlegame', 'veryLong']",True,False,False
4rk1r/1pp2p2/p2p3p/3N4/3P2q1/8/PPP5/1K2Q1NR w - - 2 24,1424,"['advantage', 'attraction', 'fork', 'long', 'middlegame', 'sacrifice']",True,True,False
6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R5RK b - - 3 29,1287,"['crushing', 'kingsideAttack', 'master', 'middlegame', 'pin', 'short']",True,True,False
r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/5N2/PPP2PPP/R2QK2R b KQkq - 3 9,1003,"['advantage', 'fork', 'master', 'opening', 'short']",True,True,False
r2qr1k1/ppp2ppp/4P3/8/1nP2Q2/2N2N1P/PP3KP1/R4R2 b - - 0 15,1107,"['crushing', 'fork', 'middlegame', 'short']",True,True,False
2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/5R2 b - - 0 24,1887,"['advantage', 'discoveredAttack', 'middlegame', 'pin', 'short']",True,True,False
r7/p2k1pp1/p1p1pn2/3p4/3P4/P3PQp1/1PP2P1R/2K5 b - - 0 20,1233,"['advancedPawn', 'advantage', 'endgame', 'short']",True,True,False
3r2k1/4nppp/pq3b2/1p2p3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 w - - 0 25,438,"['backRankMate', 'mate', 'mateIn2', 'middlegame', 'short']",True,True,False
5r1k/pp4pp/2p5/6q1/5R2/2P5/P1P2PPP/3rR1K1 w - - 0 28,594,"['backRankMate', 'endgame', 'mate', 'mateIn1', 'oneMove', 'queenRookEndgame']",True,True,False
8/1N3k2/6p1/8/2P3P1/pr6/R7/5K2 b - - 2 56,1769,"['crushing', 'endgame', 'exposedKing', 'fork', 'long', 'master']",True,True,False
4r3/p5k1/2R4p/2Pp4/1P1pr1P1/P6P/8/3R3K b - - 0 35,1163,"['crushing', 'endgame', 'exposedKing', 'long', 'rookEndgame']",True,True,True
4qk2/1b3R2/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 b - - 0 41,1711,"['advantage', 'endgame', 'short']",True,True,False
8/5k2/4R2p/p7/5rPK/8/7P/8 w - - 3 43,1987,"['crushing', 'endgame', 'exposedKing', 'long', 'rookEndgame']",True,False,False
r1bk2r1/ppq2NQp/3bpn2/1Bpn4/5P2/1P6/PBPP2PP/RN2K2R b KQ - 0 13,1790,"['advantage', 'master', 'middlegame', 'short']",True,False,False
3r4/R7/2p5/p1P2p2/1p4k1/nP2K3/P3NP2/8 b - - 4 41,1271,"['cornerMate', 'endgame', 'mate', 'mateIn1', 'oneMove']",True,True,False
8/7R/5p2/p7/7P/2p5/3k2N1/1K6 b - - 0 48,1203,"['advancedPawn', 'crushing', 'defensiveMove', 'deflection', 'endgame', 'long', 'promotion']",True,True,False
8/p1p1k2p/4P3/2PP1p1P/1r3r2/5B2/P3RK2/8 w - - 4 39,1152,"['advancedPawn', 'advantage', 'endgame', 'exposedKing', 'long', 'master']",True,False,False
2kr2r1/1bp4n/1pq1p2p/p1P5/1P3B2/P6P/5RP1/RB3QK1 b - - 4 26,2274,"['crushing', 'deflection', 'kingsideAttack', 'middlegame', 'pin', 'sacrifice', 'skewer', 'veryLong']",True,True,False
5rk1/5ppp/1p6/1q3P1Q/2pp3P/6R1/6PK/8 w - - 0 31,1746,"['attraction', 'crushing', 'discoveredAttack', 'endgame', 'long', 'sacrifice']",True,True,False
r1bqk2r/p3nppp/3p4/1pp5/4P3/4Q3/PPP2PPP/2KR1B1R w kq - 0 12,1617,"['advantage', 'interference', 'long', 'middlegame']",True,True,False
r6k/1b3pp1/p1q1pn1p/2p5/P1B5/1PN4Q/2P1RP1P/R5K1 b - - 0 26,891,"['mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/1R4K1 b - - 0 26,1152,"['endgame', 'mate', 'mateIn2', 'short']",True,True,False
8/3k1p2/4p3/p2p4/3P1P2/q3P1rP/7r/1QR2K2 w - - 2 35,982,"['endgame', 'mate', 'mateIn2', 'short']",True,True,False
r4rk1/5pbp/p1n1p1p1/2p3NP/1p1q1B2/3P3Q/PPP3P1/R3R1K1 w - - 3 20,2299,"['advantage', 'defensiveMove', 'middlegame', 'veryLong']",True,True,False
5k2/4bB2/4P3/2p2P2/2b5/8/p7/B6K b - - 5 48,2368,"['advancedPawn', 'bishopEndgame', 'crushing', 'deflection', 'endgame', 'promotion', 'quietMove', 'veryLong']",True,True,True
8/4kr2/R2p4/1p1Pp3/5pp1/3K1P2/PPP5/8 w - - 0 40,1608,"['crushing', 'endgame', 'long', 'rookEndgame']",True,True,True
r2r2k1/2q1bpp1/3p3p/1ppn4/1P1BP3/P5Q1/4RPPP/R5K1 w - - 0 21,469,"['kingsideAttack', 'mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
4rr1k/p1Qn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 b - - 0 16,1209,"['kingsideAttack', 'long', 'mate', 'mateIn3', 'middlegame', 'sacrifice']",True,True,False
5Q2/8/1bk1p1p1/5p2/3p4/5qPK/7P/8 w - - 2 52,1287,"['advantage', 'endgame', 'short', 'skewer']",True,True,False
3q2k1/3r4/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K w - - 1 25,898,"['crushing', 'fork', 'middlegame', 'short']",True,False,False
8/2k3n1/K2p2p1/2pP2Pp/2P4P/7B/8/8 b - - 1 57,2191,"['crushing', 'endgame', 'short']",True,False,False
6k1/p3b2p/1p1pP3/2P3P1/2np3B/P6P/3Q3K/8 b - - 0 38,2394,"['advantage', 'clearance', 'endgame', 'hangingPiece', 'long', 'quietMove']",True,True,False
4r1k1/ppq3pp/2p2p2/4r3/4p1Q1/P5RP/1P3PP1/3R2K1 w - - 4 35,1386,"['advantage', 'endgame', 'short']",True,True,False
2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 w - - 0 28,1451,"['endgame', 'mate', 'mateIn1', 'oneMove']",True,True,False
4b1k1/4Pr2/3R2pp/1ppBP2q/8/PP4P1/2P4P/3R3K w - - 3 39,2624,"['advancedPawn', 'attraction', 'crushing', 'endgame', 'exposedKing', 'intermezzo', 'pin', 'promotion', 'quietMove', 'veryLong']",True,True,False
5rk1/1p2p2p/p2p4/2pPb2R/2P1P3/1P1BKPrR/8/8 w - - 5 31,1066,"['crushing', 'endgame', 'fork', 'long']",True,True,False
r1b2rk1/ppq2p1p/6p1/4b2Q/4R3/3B4/PP3PPP/R1B3K1 w - - 0 16,1484,"['advantage', 'middlegame', 'short']",True,True,False
r1b2rk1/p3pp2/2B5/2Qpq3/3N2pp/4b3/2P2PPP/1R2K2R w K - 0 24,2041,"['advantage', 'defensiveMove', 'middlegame', 'short']",True,False,False
4rk2/p4q2/1p3Q1b/8/1p5N/2P1p3/P3P3/2K5 w - - 1 44,1229,"['endgame', 'mate', 'mateIn2', 'pin', 'short']",True,True,False
5kr1/ppR3p1/3R3p/1n6/1r6/8/1P3PPP/2K5 w - - 5 32,950,"['endgame', 'mate', 'mateIn1', 'oneMove']",True,True,False
r2q1rk1/p1p2pp1/3bbn1p/4N3/8/1P4P1/PBQPPP1P/RN2K2R b KQ - 2 12,1744,"['advantage', 'clearance', 'fork', 'long', 'opening']",True,True,False
r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1 w - - 0 33,666,"['backRankMate', 'endgame', 'hangingPiece', 'mate', 'mateIn2', 'short']",True,True,False
5k2/p4pp1/1qn3r1/3pP2p/3N1P2/2PQ4/Pr3RPP/R5K1 b - - 6 24,2413,"['advantage', 'long', 'middlegame']",True,True,False
2rr4/5pk1/p1Q1N1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK b - - 0 25,1823,"['defensiveMove', 'equality', 'middlegame', 'short']",True,False,False
5r2/pp1k4/4p1b1/3pP1Np/3P1P1K/8/P7/2R5 w - - 8 43,1439,"['attraction', 'crushing', 'deflection', 'endgame', 'fork', 'long', 'sacrifice']",True,True,False
r5k1/2p1pp2/pp4p1/1q5r/5P2/2QP2R1/PP6/1K4R1 w - - 1 33,1902,"['crushing', 'endgame', 'sacrifice', 'veryLong']",True,True,False
r1b1qrk1/pp1n1pbp/2pp1np1/4P3/2P2B2/2NBPN1P/PP3PP1/R2Q1RK1 b - - 0 10,1215,"['advantage', 'opening', 'short']",True,False,False
8/5p1k/1P4pp/3Qn3/4BP2/6P1/1p2PK1P/2q5 b - - 2 34,2779,"['advancedPawn', 'crushing', 'endgame', 'long', 'promotion']",True,True,True
3rk2r/2qn2p1/p1Q1p3/3n3p/8/8/PP4PP/5R1K w k - 0 24,1028,"['fork', 'mate', 'mateIn2', 'middlegame', 'short']",True,True,False
8/8/1p1k1p1p/3np3/2B2p2/PP1K1PP1/7P/8 w - - 0 37,2310,"['crushing', 'defensiveMove', 'endgame', 'long']",True,False,False
r3kb1r/ppqN1ppp/4pn2/1Q3b2/3P4/8/PP2PPPP/RNB1KB1R b KQkq - 0 9,1537,"['hangingPiece', 'mate', 'mateIn1', 'oneMove', 'opening']",True,True,False
8/8/4Kpp1/7p/3N2kP/8/8/8 b - - 3 62,2342,"['crushing', 'endgame', 'knightEndgame', 'master', 'masterVsMaster', 'quietMove', 'veryLong']",True,True,False
1r6/pp2kppQ/2n1p1n1/3p2P1/5P2/2PqP3/PP1N4/2KR3R b - - 4 27,1901,"['long', 'mate', 'mateIn3', 'middlegame', 'queensideAttack', 'sacrifice']",True,True,False
r1b1kb1Q/ppp4p/6pB/3P4/2pn4/8/PPP1qPPP/RNK4R b q - 3 13,886,"['mate', 'mateIn1', 'middlegame', 'oneMove', 'queensideAttack']",True,True,False
6r1/3k4/1K1P4/2P5/R7/5b2/8/8 w - - 1 69,1914,"['advancedPawn', 'crushing', 'endgame', 'exposedKing', 'long']",True,True,False
r1r2k2/ppq3bQ/4p2p/4n3/3p4/2P5/PBB2PPP/4R1K1 w - - 3 25,3086,"['advantage', 'exposedKing', 'middlegame', 'quietMove', 'veryLong']",True,False,False
6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3r1NK1 w - - 0 28,801,"['endgame', 'mate', 'mateIn2', 'short']",True,True,False
7r/ppp2kp1/2nb1pp1/3p3r/3P2P1/2PQB3/PP3PP1/R3R1K1 b - - 0 18,641,"['mate', 'mateIn1', 'middlegame', 'oneMove']",True,True,False
r1q3k1/3nbppp/pp2p3/4B3/8/2N2Q2/PPPR1PPP/6K1 w - - 1 19,1423,"['crushing', 'deflection', 'middlegame', 'short']",True,True,False
7r/pppk4/2pN1r2/8/3P2p1/2P5/PP2RPP1/4R1K1 b - - 0 26,1918,"['crushing', 'endgame', 'veryLong']",True,True,False
5rk1/R4pp1/1p5p/3Q4/1PPp2q1/3P2P1/5P2/4K3 b - - 0 34,1640,"['crushing', 'deflection', 'endgame', 'veryLong']",True,True,False
2kr1br1/ppBb1ppp/8/3P2Q1/6n1/5n2/PP3qPP/RN2R2K w - - 0 17,1020,"['mate', 'mateIn1', 'oneMove', 'opening', 'queensideAttack']",True,True,False
1r6/5k2/2Q1pNp1/p5Pp/1p2P2P/2P4R/KP3P2/3q4 b - - 0 31,1145,"['endgame', 'mate', 'mateIn2', 'short']",True,True,False
1r6/k2qn1b1/p1N1p1p1/2PpPpN1/2n2P1P/p4B2/1PP2Q2/1K1R3R b - - 0 32,2545,"['advancedPawn', 'advantage', 'middlegame', 'pin', 'veryLong']",True,False,False
6R1/p7/5k2/P7/6KP/8/8/5r2 b - - 6 53,843,"['crushing', 'endgame', 'rookEndgame', 'short', 'skewer']",True,True,False
1k1r3r/8/pp1n2p1/2q5/1Q6/3R2P1/PPP2P1P/3R2K1 w - - 5 30,1448,"['crushing', 'long', 'middlegame']",True,True,False
